Product Name,Image,Sub - Category,Potential Supplier,Supplier Model Number,Heyzack Refeance Number,MOQ,SALES PRICE,Price,Order Price,Launchboom,Specification,Features,Communication Protocol,Power Source,Specs-final,Main Catagory 
Door Lock with lock body and mortise,,Smart Door Lock,Wenhui,1,,"33,00 €","198,00 €",18.06,,,"App remote password/Bluetooth/swipe card/mechanical key Standard lock body: single/limited time/cycle/permanent/custom password unlocking 1.Low Battery Powered by 4 pcs AAA batteries
2.USB charging port available for running -out batteries
3.Emergency mechanical key available for unlocking without interface
4.Create one-time,periodic and temperary password with effective
and expiration time in smart life APP or tuya APP","1. Let the dog-walker in while you stay at work—send a one-time code from your phone and get on with your day.
2. Never hide a key under the mat again; the spare mechanical key stays in your wallet for true emergencies only.
3. Batteries last months on four AAA’s, and if they ever die you can power up instantly from any USB battery pack you already own.
4. Give the cleaner a recurring code that works only on Tuesdays, then it expires automatically—no need to remember to change anything.
5. Unlock the door hands-full with a single swipe of the same card you use at the office—no phone, keys, or fuss required.",,,"App remote password/Bluetooth/swipe card/mechanical key | Standard lock body: single/limited time/cycle/permanent/custom password unlocking | Low Battery Powered by 4 pcs AAA batteries | USB charging port available for running-out batteries | Emergency mechanical key available for unlocking without interface | Create one-time,periodic and temporary password with effective and expiration time in smart life APP or tuya APP",Smart Devices
"Smart door
lock with
bluetooth
functio",,Smart Door Lock,Tuaon,F7-TT-BLE,,"100,00 €","600,00 €",24.80,,,"Unlocking method: fingerprint/password/IC card/mechanical key/TT lock APP
Functions:Low power voice prompt, anti-picking alarm, password contact error 5 times alarm, virtual
password alarm, check the unlock history record function
Extended function ：TT lock APP, TT lock hotel, hotel PMS
Battery: 1.5V (AA alkaline battery) *4pcs
Fingerprint module: semiconductor living fingerprint head
Fingerprint identification speed: ≤1s
Rejection rate ≤0.01%
power consumption ≤50UA
Emergency power supply：Mirco USB
Size:370*70*25MM
(If you don't need fingerprint module,then it will subtract USD2/pcs)","1. Get in the door in under a second with one touch—no more fumbling for keys when your hands are full of groceries or kids.
2. Know instantly if someone tries to tamper with the lock, so you can relax whether you’re upstairs or across town.
3. Hand out digital “keys” to guests, cleaners, or dog-walkers and cancel them anytime—no more hiding spare keys under the rock.
4. Check who came and went right on your phone, so you’ll know the kids got home from school before you even ask.
5. Swap four everyday AA batteries yourself in seconds—no service call, no wiring, no tools required.",,,"Unlocking method: fingerprint/password/IC card/mechanical key/TT lock APP | Functions: Low power voice prompt, anti-picking alarm, password contact error 5 times alarm, virtual password alarm, check the unlock history record function | Extended function: TT lock APP, TT lock hotel, hotel PMS | Battery: 1.5V (AA alkaline battery) 4pcs | Fingerprint module: semiconductor living fingerprint head | Fingerprint identification speed: ≤1s | Rejection rate: ≤0.01% | power consumption: ≤50UA | Emergency power supply: Mirco USB | Size: 37070*25MM | (If you don't need fingerprint module,then it will subtract USD2/pcs)",Access
"Double -sided
fingerprint
integrated lock
(bull head
lock)",,Smart Door Lock,Tuaon,"GS-NSZW02
Double fingerprint",,"59,00 €","354,00 €",54.30,,,"*Number of passwords for door opening: <=100
*Number of remote controls for door opening: <=10
*Resolution: 500DPI
*Rejection rate: ≤0.15%
*False recognition rate: ≤0.00004%
*Working temperature: -10℃～60℃
*Relative humidity: 20%～93%","1. Walk in without fumbling for keys; the lock reads your fingerprint in under a second, even with gloves on cold mornings down to 14 °F.
2. Give each family member their own “key” that can’t be dropped or copied—up to 100 unique prints—so no one is ever locked out.
3. Hand a remote to the dog-walker or house-sitter and delete it later in seconds, keeping tabs on who enters without cutting spare keys.
4. The lock knows the difference between a real finger and a fake, turning away 99.85 % of unknown prints, so you feel secure while you sleep.
5. Works from dry winter air to sticky summer humidity, so the door always opens on the first try, saving you time every single day.",,,Number of passwords for door opening: <=100 | Number of remote controls for door opening: <=10 | Resolution: 500DPI | Rejection rate: ≤0.15% | False recognition rate: ≤0.00004% | Working temperature: -10℃～60℃ | Relative humidity: 20%～93%,Access
"Smart door
lock for
wooden door",,Smart Door Lock,Tuaon,GS-S30-Black,,"33,50 €","201,00 €",54.30,,,"Material: aluminum alloy+tempered glass
*Applicable lock body: double tongue/single door lock body
*Color: black/gold
*Configuration: fingerprint, password, card, key, temporary password,
optional tuya remote door opening/remote door opening, standard 10
languages
*Suitable door thickness: 35mm-120mm
*Single handle weight: 1.66kg
*Color box size: 340x190x123mm
*Outer box size: 63.5x35.5x40cm
*Packing quantity: 10 sets/box
*Capacity: 100 fingerprints,
199 passwords, 199 cards, 2 mechanical keys","1. Let the dog-walker in while you’re still at work—send a one-time code from your phone and get on with your day.
2. Your finger is the key; no more fishing for metal in the dark when arms are full of groceries.
3. Give everyone their own easy way in—finger, card, or code—so morning exits stop feeling like a key-hunt scramble.
4. Keep the spare keys inside the lock, not under the rock; two mechanical backups stay hidden and ready if tech ever sleeps.
5. Speak and set up in the language you already think in—ten built-in choices mean Grandma can program it just as easily as you.",,,"Material: aluminum alloy+tempered glass | Applicable lock body: double tongue/single door lock body | Color: black/gold | Configuration: fingerprint, password, card, key, temporary password, optional tuya remote door opening/remote door opening, standard 10 languages | Suitable door thickness: 35mm-120mm | Single handle weight: 1.66kg | Color box size: 340x190x123mm | Outer box size: 63.5x35.5x40cm | Packing quantity: 10 sets/box | Capacity: 100 fingerprints, 199 passwords, 199 cards, 2 mechanical keys",Access
"3D recognition
smart lock
(Face recognition
+ palm vein
recognition +
Security camera)",,Smart Door Lock,Tuaon,GS-7FP,,"23,15 €","138,90 €",77.60,,,"Features: Face and body induction start
Screen: 4.5 inches Material: high-grade zinc alloy, IML panel
Rejection rate <0.01%, misrecognition rate <0.0001%
Face/palm vein/fingerprint/ic card storage capacity: 50/50/100/100
Working power supply: 4200mAh
Working environment: humidity 20%-90%, temperature - 20°C~60°C
Unlocking method: face recognition,fingerprint recognition, temporary password,
password, smart card, mechanical key,Applicable door thickness: 40-120mm","1. Walk straight in without breaking stride—your face unlocks the door faster than you can reach for keys.
2. Let the dog-walker in while you’re at work by texting a one-time code that works once and never again.
3. Know it’s your teen arriving home, not a stranger, because the camera shows you a clear snapshot on your phone.
4. Forget hiding spare keys; your palm alone opens the door even if gloves or rain hide your fingers.
5. The battery lasts months on a single charge, so you’re never locked out in the cold waiting for a locksmith.",,,"Features: Face and body induction start | Screen: 4.5 inches | Material: high-grade zinc alloy, IML panel | Rejection rate: <0.01% | Misrecognition rate: <0.0001% | Face/palm vein/fingerprint/ic card storage capacity: 50/50/100/100 | Working power supply: 4200mAh | Working environment: humidity 20%-90%, temperature -20°C~60°C | Unlocking method: face recognition, fingerprint recognition, temporary password, password, smart card, mechanical key | Applicable door thickness: 40-120mm",Access
Smart Door Lock,,Smart Door Lock,Tuaon,F8-TY-ZIGBEE,,"100,00 €","600,00 €",26.80,,,"1. Smart door lock with Zinc alloy material
2. 1 group of master code, 100 groups of fingerprint users
3. Fingerprint scanning time : ≤0.1s
4. Smart fingerprint recognition function: 360° fingerprint detection; from young to elder, a person
only
need to record his finerprint one time, then he can unlock the door through his whole life.
5. Aopt phantom password technology, you can add some numbers before/after you input the real
password, which can avoid other people peep your password.
6. Unlock ways: fingerprint, anti-peeping password, fingerprint+password, mechanical key, IC card,","1. Get inside in under a second—your fingerprint unlocks the door before your coffee cup reaches your lips.
2. Skip the key search; one quick finger tap frees your hands for groceries, kids, or the dog.
3. Share easy, peep-proof access—give family their own codes and fingerprints without hiding spare keys under the rock.
4. Lock up from bed or the backyard with a tap on the keypad—no more “Did I lock the door?” detours.
5. The tough zinc body stands up to weather and bumps, so your front door stays secure year after year without extra maintenance.",,,"Material: Smart door lock with Zinc alloy material | Master code and users: 1 group of master code, 100 groups of fingerprint users | Fingerprint scanning time: ≤0.1s | Smart fingerprint recognition function: 360° fingerprint detection; from young to elder, a person only need to record his finerprint one time, then he can unlock the door through his whole life | Anti-peeping technology: Aopt phantom password technology, you can add some numbers before/after you input the real password, which can avoid other people peep your password | Unlock ways: fingerprint, anti-peeping password, fingerprint+password, mechanical key, IC card",Access
24*240 lock body ,,Smart Door Lock,Tuaon,GS-K7,,"18,06 €","108,36 €",7.14,Kit Options,,"Lock body size: 24*240mm
Special national standard lock body.
Stainless steel material","1. Your door stays solid for years—stainless steel shrugs off rain, kicks, and daily bumps without rust or wobble.
2. The 24 × 240 mm frame drops straight into the standard cut-out you already have, so the locksmith is gone in minutes and you’re back to dinner.
3. No weak points: the one-piece steel body blocks prying tools better than painted alloys, giving you an extra breath of security every night.
4. One lock fits every seasonal swell and shrink of wood or metal, so it latches smooth in July humidity and January frost without you wrestling the handle.
5. Because it’s built to the national standard, future smart upgrades or replacements slide right in—saving you another Saturday of drilling and measuring later.",,,Lock body size: 24*240mm | Special national standard lock body | Stainless steel material,Access
3D face+video doorbell Smart  Automatic lock,,Smart Door Lock,Tuaon,D1,,"24,80 €","148,80 €",75.50,,,"*7 ways to unlock
① 3D face recognition unlock, ②fingerprint
unlock the door, ③Password unlock, ④RFID
card unlock; ⑤Mechanical key unlock ⑥
Mobile APP ; ⑦Video doorbell unlock
* Material: Aluminum alloy;
*Touch password screen, virtual password
function, display screen, fingerprint password
double protection;
*Lock core: C-level blade anti-theft lock core
* Color: Starry gray","1. Walk up hands-full and the door simply unlocks for you—no juggling groceries, kids, or phones.
2. Know who’s there before you open up; the built-in video doorbell shows visitors on your phone so you answer only when it feels right.
3. Give guests or dog-walkers their own entry code, then delete it when you want—no spare keys to hide, lose, or copy.
4. Feel safer at night: the C-grade lock core and sturdy aluminum body add a solid layer between your family and the outside world.
5. Starry-gray finish resists smudges and weather, keeping your entrance looking sharp with zero extra cleaning.",,,7 ways to unlock: ① 3D face recognition unlock ② fingerprint unlock the door ③ Password unlock ④ RFID card unlock ⑤ Mechanical key unlock ⑥ Mobile APP ⑦ Video doorbell unlock | Material: Aluminum alloy | Touch password screen virtual password function display screen fingerprint password double protection | Lock core: C-level blade anti-theft lock core | Color: Starry gray,Access
"WiFi smart
door lock with
camera (comes with lockbody)",,Smart Door Lock,Tuaon,GS-E908,,"54,30 €","325,80 €",78.40,,,"1. When the guest rings the doorbell, the smart door lock will capture the photo of the guest and
send it to the APP of the host's mobile phone, and the host's mobile phone will also receive A video
popover to view the real-time situation of the door. If it is someone you know, you can directly unlock
the door remotely on the phone.
2. Every time the lock is opened, the mobile APP will receive push information
3.work with tuya mobile APP or smart life APP.
4. Unlock ways: fingerprint, anti-peeping password, fingerprint+password, mechanical key, IC
card,mobile APP","1. Know who's there before you open the door—your phone shows a live photo and video the instant someone rings the bell, so you decide whether to let them in from wherever you are.
2. Skip the dash downstairs—tap once on your phone and the door unlocks for family, friends, or delivery drivers while you stay on the couch.
3. Never wonder if the kids got home safely—your phone pings with a simple notification every time the lock is used, keeping you quietly in the loop.
4. Walk in with full hands—one touch of your finger opens the door, no need to dig for keys or even look at your phone.
5. Share access without spare keys—send a secure code or an IC card to guests and sitters instead of cutting metal copies you can’t track.",,,"Guest photo capture and notification: When the guest rings the doorbell, the smart door lock will capture the photo of the guest and send it to the APP of the host's mobile phone, and the host's mobile phone will also receive a video popover to view the real-time situation of the door. If it is someone you know, you can directly unlock the door remotely on the phone | Lock opening notification: Every time the lock is opened, the mobile APP will receive push information | Compatible apps: Work with Tuya mobile APP or Smart Life APP | Unlock methods: Fingerprint, anti-peeping password, fingerprint+password, mechanical key, IC card, mobile APP",Access
Smart Lock (lock box),,Smart Door Lock,Tuya,LL05-B,,"54,30 €","325,80 €",22,,,"Storage capacity: 100 pcs (not included) | Materials: Aluminum alloy | Surface treatment: Spray painting process | Battery life: 12 months(AAA)/24 months(CR123A) | Operating temperature: -20°C~55°C | Working environment humidity: 40%RH~85%RH | Salt spray test: 96 hours | Installation: Hooks, self-tapping screws, expansion screws | Supported gateways: Bluetooth Gateway | Certification: CE, FCC, RoHS, IP65","1. Leave keys for the dog-walker, cleaner, or Airbnb guest without driving home—store up to 100 different codes and never cut another spare.
2. The lock works from –20 °C to 55 °C and shrugs off rain, snow, and 96-hour salt spray, so you stop worrying about weather-worn parts jamming on cold mornings.
3. One set of AAA batteries lasts a full year; CR123As last two, meaning you change them about as often as the smoke detector and skip the “dead-bolt beep” panic.
4. Pop it open with your phone the moment your hands are full of groceries—no more digging for keys on a dark porch or setting bags on the wet steps.
5. Install with just two screws (or the supplied anchors) in under ten minutes; no locksmith bill, no wiring, and you’re ready to go before the pizza arrives.",Bluetooth,AAA Batteries,"Storage capacity: 100 pcs (not included) | Materials: Aluminum alloy | Surface treatment: Spray painting process | Battery life: 12 months(AAA)/24 months(CR123A) | Operating temperature: -20°C~55°C | Working environment humidity: 40%RH~85%RH | Salt spray test: 96 hours | Installation: Hooks, self-tapping screws, expansion screws | Supported gateways: Bluetooth Gateway | Certification: CE, FCC, RoHS, IP65",Access
"Square
5050 mortise
(304 Stainless
Steel)",,Smart Door Lock Body,Tuaon,DSS-5050,,"77,60 €","465,60 €",5.78,,,"Square
5050 mortise
(304 Stainless Steel)","1. Your door stays shut against forced entry, because the 304 stainless-steel body refuses to bend or snap even under serious pressure.
2. You save a Saturday afternoon, since the 5050 mortise drops straight into your existing cut-out—no drilling new holes or sanding edges.
3. The lock feels rock-solid every time you pull it closed, giving you that quiet “it’s secure” click that lasts for years without wobble.
4. Enjoy avoid the cost of a replacement, because stainless steel shrugs off rain, snow, and sticky fingerprints that would corrode cheaper metals.
5. One smooth motion locks and unlocks the door, so your hands stay free for grocery bags, kids, or the dog leash.",,,Shape: Square | Type: 5050 mortise | Material: (304 Stainless Steel),Access
"Single
deadbolt
24*240mm
size
(Full 304
Stainless
Steel)",,Smart Door Lock Body,Tuaon,DSS-24240-3583,,"26,80 €","160,80 €",5.78,,,"Single deadbolt
24*240mm size
(Full 304 Stainless Steel)
Hole spacing 3585","1. Feel the door lock solidly every night—one smooth thumb-turn of 304 stainless steel tells you everyone inside is safe before you head upstairs.
2. Stop wrestling with sticky hardware; the precisely cut 24 × 240 mm deadbolt glides into place on the first try, so you’re never fumbling at the door with arms full of groceries.
3. Trust one lock to guard the beach house, city condo, or rental the same way—full stainless steel shrugs off rain, snow, and coastal air, sparing you weekend trips to replace rusted parts.
4. Fit today’s smart lock kit without new holes; the standard 3585 mm spacing lets you swap the old body in minutes and get back to dinner, not drilling.
5. Enjoy quieter evenings—tight tolerances and a single moving bolt mean no rattles when the front door is shut and kids are already asleep.",,,Single deadbolt | 24*240mm size | (Full 304 Stainless Steel) | Hole spacing 3585,Access
"Cylindrical
40*388 Mortise
(Full 304
Stainless
Steel)",,Smart Door Lock Body,Tuaon,YZ-40-388,,"7,14 €","42,84 €",5.78,,,"40*388 mortise
Hole spacing 6068
Cylindrical deadbolt","1. Feel the door lock itself with a solid thunk every night, because the full 304 stainless steel body turns your bedtime routine into a quiet “we’re safe” ritual.
2. Walk in faster after grocery runs—no fumbling—thanks to the cylindrical deadbolt that glides open smoothly even when your hands are full.
3. Sleep deeper through storms, knowing the 40 mm thick mortise resists forced turns better than standard latches, so wind or crowbar jabs stay outside where they belong.
4. Keep winter heat inside; the snug 6068-hole spacing seals the frame tight so drafts don’t sneak in around the lock and bump up your heating bill.
5. Replace only the lock, not the door—the existing 6068 cut-out fits this mortise perfectly, saving you an afternoon of drilling and sawdust mess.",,,40*388 mortise | Hole spacing 6068 | Cylindrical deadbolt,Access
2P Breaker Zigbee with power monitering,,Smart Circuit Breaker,Tongou,TOQCB2L-63-JZ,,"75,50 €","453,00 €",42.71,,,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Leakage Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 61009, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63 | Rated Residual Operating Current(mA): 30,100,300,500 | Residual Current Type: AC, A | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Mounting: DIN Rail 35mm","1. Turn off the upstairs lights from bed—no more cold, dark trips to the switch.
2. Get an instant heads-up if the water heater is leaking current, so small problems never become big shocks.
3. Spot the old space heater that’s quietly running up your bill and replace it before the next statement arrives.
4. Set the pool pump to run during cheaper off-peak hours and wake up to automatic savings every month.
5. Lock the workshop circuit in “maintenance mode” while you fix the saw, keeping the family safe from an accidental flip-back-on.",,,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Leakage Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 61009, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 2P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63 | Rated Residual Operating Current(mA): 30,100,300,500 | Residual Current Type: AC, A | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Mounting: DIN Rail 35mm",Energy
3P Breaker Zigbee with power monitering,,Smart Circuit Breaker,Tongou,TOQCB2L-63-JW,,"78,40 €","470,40 €",58.43,,,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Leakage Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 61009, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 3P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63 | Rated Residual Operating Current(mA): 30,100,300,500 | Residual Current Type: AC, A | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Mounting: DIN Rail 35mm","1. Turn off the pool pump or water heater from bed—no more midnight trips to the garage when you remember you left it running.
2. Get an instant phone alert if the water heater or any 3-pole circuit leaks even a trickle of power, so small problems never become big shocks.
3. See exactly how much your hot tub or workshop costs every month and dial back usage without guessing where the bill came from.
4. The breaker watches its own temperature and shuts off before overheating can damage wires, keeping your panel safe while you’re away.
5. Schedule the sauna or car charger to run during cheap-rate hours automatically—set it once, save every month, forget about it.",,,"Features: Remote Control, Voice Control, Time Mode, Circuit Protection, Leakage Protection, Electricity Consumption, Real-Time Power/Current/Voltage, Temperature Protection, Operation Log, DIN Rail Installation, Maintenance Mode | Standards: IEC/EN 61009, IEC/EN 50557, EN 301 489, EN 300 328, EN IEC 61000 | Poles: 3P | Frequency: 50/60Hz | Current Frame(A): 16,20,32,40,63 | Rated Residual Operating Current(mA): 30,100,300,500 | Residual Current Type: AC, A | Curve Code: B, C, D | Rated Insulation Voltage(V): AC 500V | Breaking Capacity(kA): 10kA | Mounting: DIN Rail 35mm",Energy
Wall socket Gateway,,Smart Gateway,Wenhui,Multi-mode wireless gateway plug type (7),,"500,00 €","3 000,00 €",12.00,,,"Status indicator: 1 LED (Wi-Fi+Zigbee) Operation button: 1 button (reset) Power supply: AC100-240V Working current: <1A Working temperature: -10℃-55℃ Working humidity: 10%-90% RH (non-condensing) Storage temperature: -20℃-60℃ Storage humidity: 5%-90% RH (non-condensing) Wireless technology: Wi-Fi 802.11 b/g/n (Zigbee 802.15.4), support Bluetooth Zigbee Parameters Wireless frequency: 2.400-2.480GHz Transmit power: nominal 10dBm Number of channels: CH1-CH26 Channel transmission rate: 250Kbps Other parameters Wireless encryption: AES 128bit encryption, WPA-PSK/WPA2-PSK, WPA/WPA2 security mechanism Network management: Remote App configuration Maximum number of connections: Max Node=50","1. One glance at the LED tells you every smart lock, bulb, and sensor is safely online—no more walking around the house to check.
2. Plug it into any wall outlet and your entire smart setup is running in under a minute—no tools, no drilling, no wasted Saturday afternoon.
3. Control up to 50 lights, plugs, or thermostats from your phone so you can dim the bedroom or turn off the porch without leaving the couch.
4. AES 128-bit encryption guards every command you send, so your doors and cameras respond only to you—not the neighborhood Wi-Fi snoop.
5. The gateway tucks into a standard outlet and sips less than 1 A of power—barely a blip on the energy bill while it keeps the whole house connected.",,,"Status indicator: 1 LED (Wi-Fi+Zigbee) | Operation button: 1 button (reset) | Power supply: AC100-240V | Working current: <1A | Working temperature: -10℃-55℃ | Working humidity: 10%-90% RH (non-condensing) | Storage temperature: -20℃-60℃ | Storage humidity: 5%-90% RH (non-condensing) | Wireless technology: Wi-Fi 802.11 b/g/n (Zigbee 802.15.4), support Bluetooth | Zigbee Parameters Wireless frequency: 2.400-2.480GHz | Transmit power: nominal 10dBm | Number of channels: CH1-CH26 | Channel transmission rate: 250Kbps | Other parameters Wireless encryption: AES 128bit encryption, WPA-PSK/WPA2-PSK, WPA/WPA2 security mechanism | Network management: Remote App configuration | Maximum number of connections: Max Node=50",Smart Devices
ZIGBEE Gateway（wired RJ45 port),,Smart Gateway,Wenhui,6,,"100,00 €","600,00 €",15,,,"Wireless parameters Chip: EFR32MG1B232 Standard: IEEE 802.15.4 Frequency band: 2.4～2.485GHz Maximum output power: 19dBm Dynamic output power: >35dB Open line-of-sight transmission distance: >300m Frequency error: ±15ppm Theoretical transmission rate: 250kbps Receiving sensitivity: Typical value - 102dBm, PER<10% Total number of channels: 16 Channel number: 11~26 Network topology: Support star, tree, mesh network Antenna: Default PCB onboard antenna Hardware parameters Chip: RTL8196E Main frequency: 400MHz Chip architecture: MIPS Operating system: Linux 3.10 Flash: 128Mbit DDR: 256Mbit USB: 1 USB Host/Device, 1 USB PHY UART: 1 Debug, 1 Data GPIO: 16 WAN: 1 10/100M Ethernet port (RJ45 interface) Timer: 2 hardware timers, 1 watchdog Indicator: 1 power indicator, 1 network indicator Button: 1 reset button Power parameters Adapter: 110V~240V AC, 5V/1A DC Working voltage: 1.8V~3.3V Environmental parameters Working temperature: -10℃-55℃ Working humidity: 10%-90% RH (non-condensing) Storage temperature: -20℃-60℃ Storage humidity: 5%-90% RH (non-condensing) Other parameters Protocol: Support Zigbee 3.0 protocol, Zigbee sub-devices can be added Firmware upgrade: Support OTA","1. Lights, locks, and thermostats respond the instant you tap the app, because the wired gateway keeps every Zigbee device in steady, no-lag contact.
2. One small box covers the whole house—basement to bedroom—so you skip extra hubs and still add 50+ sensors without slowing anything down.
3. Setup finishes before your coffee does: plug into router, open the app, and every new switch or sensor appears on-screen ready to use.
4. Even if Wi-Fi hiccups, your automations keep running; the local mesh network means schedules and security rules stay alive without internet.
5. Futureproof peace of mind: silent over-the-air updates add new features overnight, so your smart home quietly gets better while you sleep.",,,"Wireless parameters Chip: EFR32MG1B232 | Standard: IEEE 802.15.4 | Frequency band: 2.4～2.485GHz | Maximum output power: 19dBm | Dynamic output power: >35dB | Open line-of-sight transmission distance: >300m | Frequency error: ±15ppm | Theoretical transmission rate: 250kbps | Receiving sensitivity: Typical value - 102dBm, PER<10% | Total number of channels: 16 | Channel number: 11~26 | Network topology: Support star, tree, mesh network | Antenna: Default PCB onboard antenna | Hardware parameters Chip: RTL8196E | Main frequency: 400MHz | Chip architecture: MIPS | Operating system: Linux 3.10 | Flash: 128Mbit | DDR: 256Mbit | USB: 1 USB Host/Device, 1 USB PHY | UART: 1 Debug, 1 Data | GPIO: 16 | WAN: 1 10/100M Ethernet port (RJ45 interface) | Timer: 2 hardware timers, 1 watchdog | Indicator: 1 power indicator, 1 network indicator | Button: 1 reset button | Power parameters Adapter: 110V~240V AC, 5V/1A DC | Working voltage: 1.8V~3.3V | Environmental parameters Working temperature: -10℃-55℃ | Working humidity: 10%-90% RH (non-condensing) | Storage temperature: -20℃-60℃ | Storage humidity: 5%-90% RH (non-condensing) | Other parameters Protocol: Support Zigbee 3.0 protocol, Zigbee sub-devices can be added | Firmware upgrade: Support OTA",Smart Devices
Matter gateway,,Smart Gateway,Tuaon,GS-MZHUB,,"5,78 €","34,68 €",28.58,,,"This is is a Multi-functional MATTER Wired Gateway. It supports both Tuya app and Apple Homekit
≤10pcs:$29.6
≤50pcs:$29.3
≤500pcs:$28.9
35
Matter Zigbee Wired gateway
GS-MZHUB
App.
- Can be acted as a Matter Gateway
- Can be acted as a ZigBee Gateway
- Works with Alexa, Google Home Asistant
- Can support up to 128 smart devices
- Lan network connection
Internet of Everything: It can be seamlessly linked with smart home devices on various platforms.
Whether it is lamps or sockets, Matter gateway can interconnect with them to provide agreed control and
management.
Specification
- Power supply: Type C, Power input: 5V1A
- Working temperature: -10~55℃
- Wireless communication protocol: 2.4G wireless & Zigbee
- Product dimension: 60*60*15mm
- Weight: 33g
- Communication protocol: Zigbee, Thread","1. Turn every light, lock, and plug in your house on or off with one tap—no more walking room to room at bedtime.
2. Ask Siri or Alexa to dim the lights while you stay on the couch; the gateway links Apple HomeKit, Google, and Alexa so every voice command just works.
3. Add up to 128 devices—bulbs, sensors, outlets—without slowing your Wi-Fi; the hub keeps them on a private Zigbee lane so Netflix stays smooth.
4. Wire it once with the included USB-C cable and forget it; the tiny box hides behind any shelf and runs silently without battery swaps.
5. Bring home any Matter lamp or socket from any brand; they auto-appear in the same app and obey the same schedules, saving you from extra hubs and passwords.",,,"Product Name: Multi-functional MATTER Wired Gateway | App Support: Tuya app and Apple Homekit | Pricing: ≤10pcs:$29.6 | ≤50pcs:$29.3 | ≤500pcs:$28.9 | Unknown: 35 | Model: Matter Zigbee Wired gateway | Model Number: GS-MHZUB | App: App | Feature: Can be acted as a Matter Gateway | Feature: Can be acted as a ZigBee Gateway | Compatibility: Works with Alexa, Google Home Assistant | Device Support: Can support up to 128 smart devices | Connection: Lan network connection | Description: Internet of Everything: It can be seamlessly linked with smart home devices on various platforms. Whether it is lamps or sockets, Matter gateway can interconnect with them to provide agreed control and management | Power supply: Type C, Power input: 5V1A | Working temperature: -10~55℃ | Wireless communication protocol: 2.4G wireless & Zigbee | Product dimension: 606015mm | Weight: 33g | Communication protocol: Zigbee, Thread",Smart Devices
"Smart Shutter Motor (25 Zigbee tubular motor, DC motor with built-in lithium battery)",,"Curtain, Shutter and Garage Door Controllers",Tuaon,AM25-1.2/30,,"5,78 €","34,68 €",48.00,,,"25 ZIGBEE tubular motor
Dc motor, built-in lithium battery
Diameter: 25 mm (Suitale for 38mm diameter tube)
Torque: 1.2 N
RPM: 30","1. Wake up to gentle daylight instead of a jarring alarm—the motor quietly opens your bedroom shutters the moment your phone alarm goes off, so you start every day naturally relaxed.
2. Leave the house knowing every shutter is closed without walking room to room—tap once on your phone and they all secure themselves while you lock the front door.
3. Keep summer heat out and winter warmth in by scheduling shutters to close at noon and open at sunset—your rooms stay comfortable and the AC runs less, trimming the power bill.
4. Replace ladders and dangling cords with a battery-powered motor that tucks inside the tube—no wiring, no climbing, just safe, smooth control from the sofa.
5. Gain back ten quiet minutes each evening: one swipe lowers every curtain for movie-night privacy while you finish bedtime stories upstairs.",,,"Model: 25 ZIGBEE tubular motor | Motor Type: DC motor, built-in lithium battery | Diameter: 25 mm (Suitable for 38mm diameter tube) | Torque: 1.2 N | RPM: 30",Access
