Supplier,Model Number,Product Name,Category,Specifications,Communitcation protocol,Power Source,Country,Image,Price,MOQ,Catalogue,Packing,Status,DESIGNATION FR,REF HEYZACK,Drive Link,Lead Time
AVATTO,T10E,Control Panel MAX,Smart Control Panel,"Screen: 10.1Inch HD LCD Multi-touch Screen | Gateway: Build in Zigbee/ BLE Mesh Gateway | Control: Intercom, APP Control, 4 Custom Physical Buttons | Bluetooth: BLE4.2 single point | Wi-Fi: RTL8723 Upstream 2.4GHz | Zigbee: ZS13S Downlink Zigbee | Bluetooth Gateway: ZS13S Downlink BLE/BLE-mesh | Zigbee Hub: Yes, 128+ Zigbee device can be added | Wireless Protocols: Wi-Fi, Zigbee, Bluetooth | Wired Network: 100M RJ45 (EU not included) | Product Dimensions: 259x161x37mm(including base)","Wi-Fi, Zigbee, Bluetooth 4.2, Ethernet",Not specified,,,,,,,Not selected,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1O72oPYWs89RBgUkhVH6b51002M-3dnzv.jpg,
AVATTO,MIUC-101-B,Smart Handheld Remote Control Panel,Smart Control Panel,"Screen: 2.4 Inch HD LCD Multi-touch Screen | Control: IR/RF Remote Control Learning, APP Control, Door Bell/Lock/Camera Answering | Power: Rechargeable Battery Build In | Chipset: AK3760E | System: Linux 4.4192V2.4 | RAM: 64MB | Flash: 128MB | PowerInput: DC 5V 2A | Wireless Protocol: Wifi, Zigbee, Bluetooth, IR, RF | IR Working Distance: Range to 8m without barrier | Battery: 1100mA 3.7V | Product size: 52*15.5*185mm | Base size: 28.8*84.2mm","Wi-Fi, Zigbee, Bluetooth, IR, RF","Rechargeable battery 1100mA 3.7V, DC 5V 2A input",,,"white：
1-99:  54.39                                                           100-500：53.00
black：
1-500: 55.09                                                   100-500：53.70",1,,,Not selected,,,,
AVATTO,ZWHS16,Smart Humidity&Temperature sensor,Smart Sensor,"Features: E-ink screen, Minimalist design, Desk and on wall installation, Environmental suitability smile indicator | Wireless Technology: ZigBee 3.0 | Sensor: Thermistor | Battery: CR2430(NOT included) | Working Voltage: DC 3V | Temperature Measure Range: -9.9°C-60.0°C | Humidity Measure Range: 0% RH-99.9% RH | Temperature Accuracy: ±1°C | Humidity Accuracy: ±5% RH",Zigbee 3.0,CR2430 battery,,,"Q＜100：13.25
100≤Q＜500：12.55
500≤Q＜1000：11.85
1000≤Q：11.16",100,,,Not selected,Capteur intelligent d'humidité et de température,HZ-SS-CAPTENV01,,
AVATTO,ZDS16,Smart Door Windows Sensor,Smart Sensor,"Features: Tamper alarm notice, Ultra mini size, Minimalist design, Smart scenes linkage | Wireless Technology: ZigBee 3.0 | Working Voltage: DC 3V(CR2032 battery) | Working Temperature: -10°C to +55°C | Low Battery Indication: Yes | Alarm Triggering Distance: 23±5mm | Battery Life: More than one year(20 times per day) | Main Body: 65*26*12.7mm | Magnet: 38.8*11*12.7mm",Zigbee 3.0,CR2032 battery,,,"Q＜100：4.46
100≤Q＜500：4.18
500≤Q＜1000：4.04
1000≤Q：3.91",100,,,Not selected,Capteur intelligent pour porte et fenêtre,HZ-SS-CONACC03,,
AVATTO,ZWS16,Smart Water Leakage Sensor,Smart Sensor,"Features: APP remote alarm, Anti-corrosion sensor probe, Minimalist design, Smart scenes linkage | Wireless Technology: ZigBee 3.0 | Working Voltage: DC 3V(CR2032 battery) | Detection Method: Anti-corrosion sensor probe | Probe Materials: Copper with nickel plating | Working Temperature: -10°C to +55°C | Low Battery Indication: Yes | Battery Life: More than one year(20 times per day) | Dimensions: Φ59.5mm*17mm",Zigbee 3.0,CR2032 battery,,,"""Q＜100：5.58
100≤Q＜500：5.30
500≤Q＜1000：5.02
1000≤Q：4.74""",100,,,Not selected,Capteur intelligent de fuite d'eau,HZ-SS-CAPTENV02,,
AVATTO,ZMS16,Smart motion sensor,Smart Sensor,"Features: 1 year battery life, Minimalist design, Magnetic type base, 90° wide detection angle | Wireless Technology: ZigBee | Working Voltage: DC 3V(CR123A battery) | Transmission Frequency: 2.4 GHZ | Working Temperature: -10°C to +55°C | Low battery alarm: support | Detection Radius: 8m | Detection Angle: 60° | Installation Height: 2.2m | Dimensions: Φ50mm*55mm",Zigbee,CR123A battery,,,"""Q＜100：7.95
100≤Q＜500：7.81
500≤Q＜1000：7.53
1000≤Q：7.25""",100,,,Not selected,Capteur intelligent de mouvement,HZ-SS-DETECINTRU01,,
TUYA,DS100-W,Smart Door Windows Sensor,Smart Sensor,"Battery Type: AAA2 | Wireless Protocol: Wi-Fi 2.4GHz | Installation Method: 3M adhesive tape | Working Temperature: -10°C~50°C | Working Humidity: 10%~90% RH, no condensation | Dimension: 7035*20mm",Zigbee,AAA Battery,,,$4.60,1000,,,Not selected,,,,
TUYA,HP220-Z,Human Presence Sensor(Plus),Smart Sensor,"Features: Human existence partition detection, People counting & Multi-person trajectory tracking, Radar +PIR double detection, Illumination detection | Working Voltage: 100-240V or Type-c 5V | Wireless Protocol: Zigbee | Radar Frequency: 24-24.25GHz | Detection Area: 4*6 square meters | Installation: Ceiling flat mount/wall mount | Working temp/humidity: -10-45°C, 0-85%RH | Dimension: L90*W90*H79mm",Zigbee,100-240V AC or USB Type-C 5V,,,,,,,Not selected,,,,
TUYA,HP210-Z,Human Presence Sensor,Smart Sensor,"Features: Human presence detection, Illumination detection | Working Voltage: 100-240V~ | Wireless Protocol: Zigbee | Radar Frequency: 24-24.25GHz | Detection Area: projection diameter 6 meters (hanging height 3 meters) | Installation: Ceiling flat mount/recessed mount | Working temp/humidity: -10°C-50°C, 0-85%RH | Hole Size: 70-80mm | Product Dimension: Φ92*38mm | Certifications: CE, RoHS, REACH",Zigbee,100-240V AC,,,,,,,Not selected,Capteur intelligent de présence humaine,HZ-SS-DETECINTRU03,,
TUYA,HP320-W,Human Presence Sensor(Pro),Smart Sensor,"Features: Ultra-high precision human presence partition detection, People Counting & Multi-person trajectory tracking, Fall detection & respiratory heart rate detection | Working Voltage: 5VDC | Wireless Protocol: Wi-Fi+Bluetooth LE | Radar Frequency: 60GHz | Detection Area: 6*8 sq meters(side mount); 4*6 sq meters(ceiling mount) | Installation: Wall mounted/embedded mounted | Working temp/humidity: -10-45°C, 0-85%RH | Dimension: Φ80*30mm","Wi-Fi, Bluetooth LE",5V DC,,,,,,,Not selected,Capteur intelligent de présence humaine (PRO),HZ-SS-DETECINTRU04,,
TUYA,HP221-Z,Human Presence Sensor(Plus),Smart Sensor,"Features: Human existance partition detection, People counting, multi-person trajectory tracking, Illumination detection | Operating voltage: 5V DC | Communication mode: Zigbee | Radar frequency: 24GHz | Detection area: 4*6 square meters | Installation: Wall mounted | Operating temperature: -10-45°C, 0-85%RH | Product size: Φ80*H30mm",Zigbee,5V DC,,,,,,,Not selected,,,,
TUYA,MD100-B/MD100-Z,PIR Motion Sensor,Smart Sensor,"Features: Human motion detection, Battery level display, Magnetic mounting, 360° adjustable detection angle | Working Voltage: 3VDC | Wireless Protocal: Zigbee Bluetooth Mesh | Detection Distance: 7M | Installation Height: 2m | Battery Type: CR2450 | Installation: Ceiling/wall mounted | Working Temperature: -10°C-50°C | Working Humidity: 10%-90% RH | Dimension: 46.2*34.2*12.9 mm | Certifications: CE, FCC, RoHS, REACH","Zigbee, Bluetooth Mesh",CR2450 battery,,,,,,,Not selected,,,,
TUYA,EB101-Z,SOS Emergency Button,Smart Sensor,"Features: One-button switch, Low power consumption, Smart scene automation | Working Voltage: 3VDC | Wireless Protocal: Zigbee/Bluetooth Mesh | Installation: 3M adhesive tape | Battery Type: CR2032 | Working Temperature: -10°C-50°C | Working Humidity: 10%-90% RH | Dimension: 58*58*17mm","Zigbee, Bluetooth Mesh",CR2032 battery,,,,,,,Not selected,,,,
TUYA,MD100-T,PIR Motion Sensor,Smart Sensor,"Features: Human motion detection, Ultra-low power consumption, Battery level display, Detection delay setting | Wireless Protocal: Thread | Detection Distance: 6m | Battery: AAA*2 | Installation: Ceiling/wall mounted | Working Temperature: -10°C-50°C | Working Humidity: 10%-90% RH | Dimension: 90*45*25mm | Certifications: CE,FCC,RoHS,REACH",Thread,2x AAA batteries,,,,,,,Not selected,,,,
AVATTO,ZSD16,Smart Smoke sensor,Smart Sensor,"Features: 10 years battery life, Minimalist design, Local and APP alarm, 20m² wide range detection | Wireless Technology: ZigBee | Transmission Frequency: 2.4GHz | Power supply: DC 3V(CR123A) | Detection range: 20 square meter | Installation method: ceiling installation | Alarm Sound Pressure: 85dB (3m ahead) | Working temperature: -10°C-50°C | Working humidity: up to 95%RH | Material: Fireproof PC+Fireproof ABS | Color: white",Zigbee,CR123A battery,,,"Q＜100：4.46
100≤Q＜500：4.18
500≤Q＜1000：4.04
1000≤Q：3.91",100,,,To be ordered,Capteur de fumée intelligent,HZ-SS-CAPTENV03,,
AVATTO,ZGD16,Smart Gas sensor,Smart Sensor,"Features: 10 years battery life, Minimalist design, Local and APP alarm, Celling&wall mounting installation | Wireless Technology: ZigBee | Working Voltage: AC220V | Alarm Density: LEL 8% ±3%LEL (natural gas) | Working Temperature: -10°C to +55°C | Working Humidity: 10%-95%RH | Alarm Method: Audible and visual alarm, APP wireless alarm | Transmission Frequency: 2.4GHz | Standby Current: 100mA | Alarm Sound Pressure: 70dB(1m ahead) | Detected Gas: Natural gas",Zigbee,AC 220V,,,"Q＜100：5.58
100≤Q＜500：5.30
500≤Q＜1000：5.02
1000≤Q：4.74",100,,,To be ordered,Capteur de gaz intelligent,HZ-SS-CAPTENV04,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1dNtYuXjtvb3MVgfOwU1xyfl9p8b4SSf2.jpg,
TUYA,TH100-T,Temperature and Humidity Sensor,Smart Sensor,"Features: Supports Matter protocol, Reliable performance with ultra-low power consumption | Battery Type: AAA*3 | Wireless Protocal: Thread | Temperature Range: -10°C-55°C | Humidity Range: 0%-99% RH | Response Time: <= 2s | Measurement Accuracy: Temp:±0.3°C, Humidity:±3% RH | Dimension: 54*54*25mm","Thread, Matter",3x AAA batteries,,,,,,,Not selected,,,,
TUYA,TH210-WR2,Smart Thermo-hygrometer,Smart Sensor,"Features: Data statistics & export, 4.5"" screen real-time data display, Over-limit alerts, Wide coverage & long battery life, AI Comfort Manager | Wireless Protocol: Wi-Fi+Bluetooth+433MHZ RF | Gateway Input: Type-C | Sub-device Input: 3V,AAA*2/CR2032 | Accuracy: ±0.3°C, ±3% RH | Product Size: 105*76*13mm / 72*24mm / 43*43mm","Wi-Fi, Bluetooth, 433MHz RF","USB Type-C (gateway), 2x AAA/CR2032 (sub-devices)",,,,,,,Not selected,,,,
AVATTO,WSMD-4/ZWSMD-4,Smart 4 Gang Dry Contact Switch,Smart DIY Module,"Features: 4 Gang available, RF remote control, Multi using scene compatible | Options: DC/AC 7-32V and AC 85-250V | Product type: 4 Gang dry contact switch | Voltage: AC100-240V 50/60Hz | Max. load: 10A/Gang | Radio Frequency: 433MHz | Operation temp: -20°C-70°C | Protocol: 2.4G WiFi/Zigbee 3.0 | Dimension: 84*79*28.5 mm | IP Rating: IP20","Wi-Fi 2.4G, Zigbee 3.0, 433MHz RF",AC 100-240V or DC/AC 7-32V,,,"""Q＜100： 4.74
100≤Q＜500：4.60
500≤Q＜1000：4.46
1000≤Q：4.32""",100,,,Not selected,Module intelligent à 4 circuits à contact sec,HZ-IE-MODUL01,,
AVATTO,ZWSMD-4,Smart 4 Gang Dry Contact Switch,Smart DIY Module,"Features: 4 Gang available, RF remote control, Multi using scene compatible | Options: DC/AC 7-32V and AC 85-250V | Product type: 4 Gang dry contact switch | Voltage: AC100-240V 50/60Hz | Max. load: 10A/Gang | Radio Frequency: 433MHz | Operation temp: -20°C-70°C | Protocol: 2.4G WiFi/Zigbee 3.0 | Dimension: 84*79*28.5 mm | IP Rating: IP20","Wi-Fi 2.4G, Zigbee 3.0, 433MHz RF",AC 100-240V or DC/AC 7-32V,,,"Q＜100： 43
100≤Q＜500：42
500≤Q＜1000：40
1000≤Q：38",100,,,Not selected,Module intelligent à 4 circuits à contact sec,HZ-IE-MODUL01,,
AVATTO,CSM16-RF,Smart Curtain Switch Module With RF433,Smart DIY Module,"Features: APP remote control, Hand free voice control, Timer/schedule/count down function, Curtain open percentage control & accurate calibration | Type: 1/2 Gang curtain module+RF | Voltage: AC100-240V 50/60Hz | Max.load: 1 Gang 3A, 2 Gang 2x3A | Protocol: 2.4G WiFi | Operation temp: -10°C-40°C | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20","Wi-Fi 2.4G, RF",AC 100-240V,,,"Q＜100： 42
100≤Q＜500：41
500≤Q＜1000：40
1000≤Q：39",100,,,Not selected,Module intelligent de commande de rideaux avec RF433,HZ-IE-MODUL02,,
AVATTO,ZCSM16-RF,Smart Curtain Switch Module With RF433,Smart DIY Module,"Features: APP remote control, Hand free voice control, Timer/schedule/count down function, Curtain open percentage control & accurate calibration | Type: 1/2 Gang curtain module+RF | Voltage: AC100-240V 50/60Hz | Max.load: 1 Gang 3A, 2 Gang 2x3A | Protocol: Zigbee 3.0 (IEEE802.15.4) | Operation temp: -10°C-40°C | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20","Zigbee 3.0, RF",AC 100-240V,,,"Q＜100： 42
100≤Q＜500：41
500≤Q＜1000：40
1000≤Q：39",100,,,Not selected,Module intelligent de commande de rideaux avec RF433,HZ-IE-MODUL02,,
AVATTO,GDS16,Smart Garage Door Switch Module,Smart DIY Module,"Features: Ultra mini size, APP remote control, Hand free voice control, Operation time setting, Timeout alarm | Product type: Garage door opener switch module | Voltage: AC100-240V 50/60Hz | Operation Frequency: 2.412GHz-2.484GHz | Protocol: 2.4G WiFi | Operation temp: -10°C-40°C | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20",Wi-Fi 2.4G,AC 100-240V,,,"Q＜100： 6.56
100≤Q＜500：6.42
500≤Q＜1000：6.14
1000≤Q：5.86",100,,,Not selected,Module intelligent de commande de porte de garage,HZ-IE-MODUL03,,
AVATTO,ZGDS16,Smart Garage Door Switch Module,Smart DIY Module,"Features: Ultra mini size, APP remote control, Hand free voice control, Operation time setting, Timeout alarm | Product type: Garage door opener switch module | Voltage: AC100-240V 50/60Hz | Protocol: Zigbee 3.0 | Operation temp: -10°C-40°C | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20",Zigbee 3.0,AC 100-240V,,,"Q＜100： 6.56
100≤Q＜500：6.42
500≤Q＜1000：6.14
1000≤Q：5.86",100,,,Not selected,Module intelligent de commande de porte de garage,HZ-IE-MODUL03,,
AVATTO,WSM16/ZWSM16,Smart Light switch Module,Smart DIY Module,"Product type: 1/2/3/4 Gang switch module | Voltage: AC100-240V 50/60Hz | Operation Frequency: 2.412GHz-2.484GHZ | Operation temp: -10°C-40°C | Protocol: 2.4G WiFi | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20 | Max.load: 1Gang:LED 800W 16A, 2Gang:LED 2X150W/2X5A, 3Gang:LED 3X150W/3X3.3A, 4Gang:LED 4X150W/4X2.5A",Wi-Fi 2.4G,AC 100-240V,,,"1gang
Q＜100： 3.49
100≤Q＜500：3.35
500≤Q＜1000：3.21
1000≤Q：3.07
2gang
Q＜100： 4.46
100≤Q＜500：4.32
500≤Q＜1000：4.18
1000≤Q：4.04
3gang
Q＜100： 5.44
100≤Q＜500：5.30
500≤Q＜1000：5.16
1000≤Q：5.02
4gang
Q＜100： 6.00
100≤Q＜500：5.86
500≤Q＜1000：5.72
1000≤Q：5.58",100,,,Not selected,Module intelligent de commande de lumière,HZ-IE-MODUL04,,
AVATTO,DMS16/ZDMS16,Smart Light switch Module,Smart DIY Module,"Product type: 1/2/3/4 Gang switch module | Voltage: AC100-240V 50/60Hz | Operation Frequency: 2.412GHz-2.484GHZ | Operation temp: -10°C-40°C | Protocol: Zigbee 3.0 | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20 | Max.load: 1Gang:LED 800W 16A, 2Gang:LED 2X150W/2X5A, 3Gang:LED 3X150W/3X3.3A, 4Gang:LED 4X150W/4X2.5A",Zigbee 3.0,AC 100-240V,,,"1gang
Q＜100： 4.18
100≤Q＜500：4.04
500≤Q＜1000：3.91
1000≤Q： 3.77
2gang
Q＜100： 5.58
100≤Q＜500：5.30
500≤Q＜1000：5.02
1000≤Q： 4.74",100,,,Not selected,Module intelligent de variateur de lumière,HZ-IE-MODUL06,,
AVATTO,LZWSM16,Smart Light Switch Module No Neutral (Zigbee),Smart DIY Module,"Product type: 1/2/3 Gang switch module no Neutral | Voltage: AC200-240V 50/60Hz | Operation Frequency: 2.405GHz-2.480GHZ | Operation temp: -10°C-40°C | Protocol: Zigbee 3.0 | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20 | Max.load: 1Gang:LED10-100W, 2Gang:LED 2x(10-100W), 3Gang:LED 3x(10-100W)",Zigbee 3.0,AC 200-240V,,,"""1gang
Q＜100： 4.60
100≤Q＜500：4.46
500≤Q＜1000：4.32
1000≤Q：4.18
2gang
Q＜100： 5.58
100≤Q＜500：5.44
500≤Q＜1000：5.30
1000≤Q：5.16""",100,,,Not selected,Module intelligent de commande de lumière sans neutre,HZ-IE-MODUL05,,
AVATTO,WPM16/ZWPM16,Smart Energy Monitor Module,Smart DIY Module,"Voltage: AC100-240V 50/60Hz | Power Detection Accuracy: ±2% | Operation Frequency: 2.412GHz-2.484GHz | Operation temp: -10°C-40°C | Protocol: 2.4G WiFi | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20 | Max.load: 1CH:0.2-80A, 2CH:2x(0.2-80A)",Wi-Fi 2.4G,AC 100-240V,,,"Q＜100： 7.95
100≤Q＜500：7.81
500≤Q＜1000：7.53
1000≤Q：7.25",100,,,Not selected,Module intelligent de surveillance énergétique,HZ-IE-MODUL07,,
AVATTO,LWSM16,Smart Light Switch Module No Neutral (Wi-Fi),Smart DIY Module,"Product type: 1/2 Gang switch module no Neutral | Voltage: AC200-240V 50/60Hz | Operation Frequency: 2.412GHz-2.484GHz | Operation temp: -10°C-40°C | Protocol: 2.4G WiFi | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20 | Max.load: 1Gang:LED 10-100W, 2Gang:LED 2x(10-100W)",Wi-Fi 2.4G,AC 200-240V,,,"1gang
Q＜100： 4.60
100≤Q＜500：4.46
500≤Q＜1000：4.32
1000≤Q：4.18
2gang
Q＜100： 5.58
100≤Q＜500：5.44
500≤Q＜1000：5.30
1000≤Q：5.16",100,,,Not selected,Module intelligent de commande de lumière sans neutre,HZ-IE-MODUL05,,
AVATTO,WSM16-DC/ZWSM16-DC,Smart Dry Contact Switch Module,Smart DIY Module,"Product Type: 1 Gang dry contact switch module | Voice Control: Amazon Alexa, Google Home, Smart Thing etc | Voltage: AC100-240V 50/60Hz | Max.load: LED 150W 5A | Protocol: 2.4G WiFi | Operation Range: <100m | Dimension: 39*39*19.4mm | IP Rating: IP20",Wi-Fi 2.4G,AC 100-240V,,,"1gang
Q＜100： 3.49
100≤Q＜500：3.35
500≤Q＜1000：3.21
1000≤Q：3.07
2gang
Q＜100： 4.46
100≤Q＜500：4.32
500≤Q＜1000：4.18
1000≤Q：4.04
3gang
Q＜100： 5.44
100≤Q＜500：5.30
500≤Q＜1000：5.16
1000≤Q：5.02
4gang
Q＜100： 6.00
100≤Q＜500：5.86
500≤Q＜1000：5.72
1000≤Q：5.58""1gang
Q＜100： 4.46
100≤Q＜500：4.32
500≤Q＜1000：4.18
1000≤Q：4.04
2gang
Q＜100： 5.58
100≤Q＜500：5.44
500≤Q＜1000：5.30
1000≤Q：5.16
3gang
Q＜100： 6.42
100≤Q＜500：6.28
500≤Q＜1000：6.14
1000≤Q：6.00
4gang
Q＜100： 7.39
100≤Q＜500：7.25
500≤Q＜1000：7.11
1000≤Q：6.97""",100,,,Not selected,Module intelligent de commande de lumière,HZ-IE-MODUL04,,
AVATTO,WCB16-1P/ZCB16-1P,Smart Sircuit Breaker,Smart DIY Module,"Features: Power consumption monitor, Multi-function timer setting, Smart protection, Log shows | Protocol: Wi-Fi | Voltage: AC 100-230V | Max.load: 63A | Radio Frequency: 433MHz | Operation temp: -20°C-70°C | Protocol Version: 2.4G WiFi | Dimension: 18*50*85 mm | IP Rating: IP20 | Control Type: Remote Control, Manual","Wi-Fi 2.4G, 433MHz RF",AC 100-230V,,,"Q＜100：15.34
100≤Q＜500：14.64
500≤Q＜1000：13.95
1000≤Q：13.25",100,,,Not selected,,,,
AVATTO,GW16-Wireless,Gateway,Smart Gateway,Type: Wireless multi protocol gateway (Zigbee & BLE sigmesh) | Color: White/Dark blue | Power input: Type-C 5V1A | Working current: <1A | Working temperature: -10°C-55°C | Working humidity: 10%-90%RH | Wireless protocol: 2.4G Wi-Fi 802.11 b/g/n | Max loaded device: 128 (standard zigbee and single point sigmesh) | Dimensions: 100*85*23mm | Net weight: 70g,"Wi-Fi 2.4G, Zigbee, Bluetooth",USB Type-C 5V 1A,,,,,,,Not selected,,,,
AVATTO,GW16-Wired,Gateway,Smart Gateway,Type: Wired zigbee gateway (Zigbee 3.0) | Color: White/Dark blue | Power input: Type-C 5V 1A | Working current: <1A | Working temperature: -10°C-55°C | Working humidity: 10%-90%RH | Protocol: Zigbee 3.0 | Max loaded device: 128 (standard zigbee device) | Dimensions: 100*85*23mm | Net weight: 79g,Zigbee 3.0,USB Type-C 5V 1A,,,,,,,Not selected,,,,
TUYA,TYGWZB-01N,Wireless Multi-mode Gateway,Smart Gateway,"Features: Ultimate price-to-performance home gateway, Versatile connectivity (Zigbee, Bluetooth Mesh, Beacon Mesh), Empowering local automation | Uplink communication: Wi-Fi | Downlink communication: Zigbee, Bluetooth LE, Bluetooth Mesh, Beacon Mesh | Max connection: 128 | Power input: 5V 1A | Size: 62*62*15mm | Product net weight: 30g | Working temperature: -10°C-45°C | Working humidity: 10%-90%RH","Wi-Fi, Zigbee, Bluetooth LE, Bluetooth Mesh",5V 1A USB,,,"1k $11, 5k $10.1, 10k $9.7",1000,,,Not selected,,,,
TUYA,TYGWBS-02N,Wireless Bluetooth Gateway,Smart Gateway,"Features: Ultimate price-to-performance home gateway, Versatile connectivity (Bluetooth Mesh, Beacon Mesh), Empowering local automation | Uplink communication: Wi-Fi | Downlink communication: Bluetooth LE, Bluetooth Mesh, Beacon Mesh | Max connection: 128 | Power input: 5V 1A | Size: 62*62*15mm | Product net weight: 30g | Working temperature: -10°C-45°C | Working humidity: 10%-90%RH","Wi-Fi, Bluetooth LE, Bluetooth Mesh",5V 1A USB,,,,,,,Not selected,,,,
TUYA,THP10-B-V2,Smart Bluetooth Gateway Pro,Smart Gateway,"Features: High-performance Bluetooth Gateway, Empowering local automation, User-friendly signal strength diagnosis | Uplink communication: RJ45, Wi-Fi | Downlink communication: Bluetooth LE, Bluetooth Mesh, Beacon Mesh | Max connection: 200 Bluetooth Mesh/16/100 Beacon Mesh | Power input: 5V 1A | Size: 90*90*23mm | Product net weight: 75g | Working temperature: -10°C-55°C | Working humidity: 10%-90%RH","Wi-Fi, Ethernet, Bluetooth LE, Bluetooth Mesh",5V 1A USB,,,,,,,Not selected,,,,
TUYA,THP10-Z-X,Smart Wired Gateway Pro,Smart Gateway,"Features: First matter gateway, Roles of bridge, controller, and border router, Supports bridging of mainstream platforms (Apple/Google/Samsung) | Power input: 5V 1A | Working temperature: -10°C-+45°C | Working humidity: 10%-90%RH | Stand by power: <= 0.5W | Internet port: 10/100Mbps | Ethernet product size: 90mm*90mm*23mm | Net weight: about 74.5g | Wireless protocol: Zigbee, Thread","Zigbee, Thread, Matter, Ethernet",5V 1A USB,,,,,,,Not selected,,,,
TUYA,THP10-Z,Wired Zigbee Gateway,Smart Gateway,"Features: Super network capacity (100+ devices), Zigbee 3.0 standard protocol, self-organizing network, local linkage | Connection Protocol: Zigbee + Ethernet | Number of device connections: 128 MAX | Power input: DC5V/1A | Product size: 90*90*23mm | Product net weight: 74.5g | Working temperature: -10°C-55°C | Working humidity: 10%-90%RH","Zigbee, Ethernet",DC 5V 1A USB,,,"1k- 3k: $12.5
3k- 5k: $12.1
5k: $11.5",1000,,,Not selected,,,,
TUYA,UX33,4G Gateway,Smart Gateway,"Features: Metal material, Multiple networks in one, Wireless networking, External antenna, Optional power supply mode | Connection Protocol: Ethernet, Wi-Fi, 4G, Zigbee, Bluetooth | Power input: Method 1: 5V 2A or Method 2: POE power supply | Product size: 265*240*65mm (without antenna) | Product net weight: 480g | Working temperature: -10°C-+55°C | Working humidity: 10%-90%RH(non-condensing)","Wi-Fi, Ethernet, 4G, Zigbee, Bluetooth",5V 2A USB or PoE,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1gu6BsVX6cpUKdRZXKfWOy9faxf2NUAfr.jpg,
TUYA,GW60-Matter,Wired Matter Gateway,Smart Gateway,"Features: Supports third-party platforms (Apple, Google, Amazon), Rich sub-device ecosystem, Support tuya thread devices and third-party matter over thread devices, LAN control | Network port: RJ45 | Color: Grey/Wood Grain | Power input: 5V 1A | Operating Voltage: 2.0V-3.8V | Working Temperature: -10°C-55°C | Working Humidity: 10%-90%RH | Wireless technology: Zigbee, Thread | Dimensions: 87*87*20mm","Zigbee, Thread",5V 1A USB,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1gerPthxLLqlShbvh1dgSwVJR95Xc8p62.jpg,
AVATTO,WT500,Smart Heating Thermostat,Smart Thermostat,"Features: 4 inch touch screen LCD display, 9 Multi-language, Aluminum alloy frame, Celsius and fahrenheit support | Type: Electric heating/Water heating/Gas boiler heating | Material: anti-flammable PC+ABS+Aluminum alloy | Voltage: 95-230V AC, 50/60HZ | Max.current load: 16A/3A/3A | Power consumption: <2W | Sensor: NTC | Temperature detection accuracy: 0.1°C | Temperature setting accuracy: 0.5°C | Temperature setting: 5-95°C | Temperature calibration: -9.9-9.9°C | Temperature Hysteresis: 0.5-10°C | Item Size: 86*86*40mm | Mounting hole distance: 60mm standard | Protection degree: IP20 | Protocol: wifi 2.4GHz | Voice Control: Amazon Alexa, Google Home, Yandex Alice etc",Wi-Fi 2.4GHz,AC 95-230V,,,"Q＜100：33.47
100≤Q＜500：32.50
500≤Q＜1000：31.66
1000≤Q：30.96",100,,,evaluation,Thermostat intelligent pour chauffage,HZ-CD-THERM01,,
AVATTO,WT410,Smart Heating Thermostat,Smart Thermostat,"Features: LED beads display, Hand free voice control, App remote control, Weekly programmable, Screen backlight brightness adjustable | Protocol: 2.4G Wi-Fi/Matter | Voice control: Amazon Alexa, Google Home, Yandex Alice etc | Temperature sensor: NTC | Temperature accuracy: ±1°C | Display screen: LED | Working temperature: -5°C-50°C | Self power consumption: <1W | Temperature setting range: 15°C-95°C | Load current: Electric Heater 16A / Water Heater 3A / Gas Boiler 3A | Voltage: AC100-240V 50/60Hz | Size: 86*86*14(Front part)+26(Back part)mm","Wi-Fi 2.4GHz, Matter",AC 100-240V,,,"Q＜100： 12.55
100≤Q＜500：12.27
500≤Q＜1000：11.85
1000≤Q：11.16",100,,,evaluation,Thermostat intelligent pour chauffage,HZ-CD-THERM02,,
